sample,fastq_1,fastq_2
CSU20089,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20089_S4_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20089_S4_L001_R2_001.fastq.gz
CSU20400,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20400_S23_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20400_S23_L001_R2_001.fastq.gz
CSU20493,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20493_S35_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20493_S35_L001_R2_001.fastq.gz
CSU20357,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20357_S20_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20357_S20_L001_R2_001.fastq.gz
CSU20812,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20812_S69_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20812_S69_L001_R2_001.fastq.gz
CSU20659,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20659_S47_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20659_S47_L001_R2_001.fastq.gz
BOU00167,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/BOU00167_S65_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/BOU00167_S65_L001_R2_001.fastq.gz
CSU20401,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20401_S24_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20401_S24_L001_R2_001.fastq.gz
CSU20301,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20301_S14_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20301_S14_L001_R2_001.fastq.gz
CSU20919,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20919_S84_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20919_S84_L001_R2_001.fastq.gz
CSU20958,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20958_S94_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20958_S94_L001_R2_001.fastq.gz
CSU20922,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20922_S86_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20922_S86_L001_R2_001.fastq.gz
CSU20708,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20708_S54_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20708_S54_L001_R2_001.fastq.gz
CSU20873,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20873_S78_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20873_S78_L001_R2_001.fastq.gz
CSU20703,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20703_S53_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20703_S53_L001_R2_001.fastq.gz
CSU20661,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20661_S48_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20661_S48_L001_R2_001.fastq.gz
CSU20631,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20631_S46_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20631_S46_L001_R2_001.fastq.gz
CSU20828,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20828_S71_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20828_S71_L001_R2_001.fastq.gz
CSU20076,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20076_S3_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20076_S3_L001_R2_001.fastq.gz
CSU20666,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20666_S51_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20666_S51_L001_R2_001.fastq.gz
CSU20728,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20728_S60_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20728_S60_L001_R2_001.fastq.gz
CSU20592,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20592_S41_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20592_S41_L001_R2_001.fastq.gz
CSU20117,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20117_S6_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20117_S6_L001_R2_001.fastq.gz
CSU20887,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20887_S82_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20887_S82_L001_R2_001.fastq.gz
CSU20559,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20559_S39_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20559_S39_L001_R2_001.fastq.gz
CSU20426,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20426_S26_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20426_S26_L001_R2_001.fastq.gz
CSU20599,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20599_S42_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20599_S42_L001_R2_001.fastq.gz
CSU20201,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20201_S9_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20201_S9_L001_R2_001.fastq.gz
CSU20378,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20378_S22_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20378_S22_L001_R2_001.fastq.gz
CSU20709,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20709_S55_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20709_S55_L001_R2_001.fastq.gz
CSU20479,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20479_S31_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20479_S31_L001_R2_001.fastq.gz
nfH20,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/nfH20_S45_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/nfH20_S45_L001_R2_001.fastq.gz
CSU20983,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20983_S96_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20983_S96_L001_R2_001.fastq.gz
CSU20886,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20886_S81_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20886_S81_L001_R2_001.fastq.gz
CSU20059,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20059_S1_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20059_S1_L001_R2_001.fastq.gz
CSU20508,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20508_S36_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20508_S36_L001_R2_001.fastq.gz
CSU20361,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20361_S21_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20361_S21_L001_R2_001.fastq.gz
CSU20778,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20778_S67_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20778_S67_L001_R2_001.fastq.gz
CSU20921,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20921_S85_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20921_S85_L001_R2_001.fastq.gz
CSU20352,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20352_S18_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20352_S18_L001_R2_001.fastq.gz
CSU20534,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20534_S38_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20534_S38_L001_R2_001.fastq.gz
CSU20304,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20304_S15_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20304_S15_L001_R2_001.fastq.gz
CSU20263,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20263_S11_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20263_S11_L001_R2_001.fastq.gz
CSU20879,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20879_S79_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20879_S79_L001_R2_001.fastq.gz
CSU20510,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20510_S37_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20510_S37_L001_R2_001.fastq.gz
CSU20941,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20941_S92_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20941_S92_L001_R2_001.fastq.gz
CSU20928,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20928_S87_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20928_S87_L001_R2_001.fastq.gz
CSU20818,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20818_S70_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20818_S70_L001_R2_001.fastq.gz
CSU20451,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20451_S29_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20451_S29_L001_R2_001.fastq.gz
CSU20266,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20266_S12_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20266_S12_L001_R2_001.fastq.gz
CSU20933,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20933_S91_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20933_S91_L001_R2_001.fastq.gz
CSU20490,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20490_S34_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20490_S34_L001_R2_001.fastq.gz
CSU20724,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20724_S59_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20724_S59_L001_R2_001.fastq.gz
CSU20760,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20760_S61_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20760_S61_L001_R2_001.fastq.gz
CSU20914,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20914_S83_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20914_S83_L001_R2_001.fastq.gz
CSU20710,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20710_S56_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20710_S56_L001_R2_001.fastq.gz
CSU20846,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20846_S73_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20846_S73_L001_R2_001.fastq.gz
CSU20669,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20669_S52_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20669_S52_L001_R2_001.fastq.gz
CSU20664,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20664_S50_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20664_S50_L001_R2_001.fastq.gz
CSU20859,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20859_S74_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20859_S74_L001_R2_001.fastq.gz
CSU20355,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20355_S19_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20355_S19_L001_R2_001.fastq.gz
BOU00163,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/BOU00163_S63_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/BOU00163_S63_L001_R2_001.fastq.gz
Undetermined,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/Undetermined_S0_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/Undetermined_S0_L001_R2_001.fastq.gz
CSU20931,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20931_S89_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20931_S89_L001_R2_001.fastq.gz
CSU20885,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20885_S80_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20885_S80_L001_R2_001.fastq.gz
CSU20165,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20165_S8_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20165_S8_L001_R2_001.fastq.gz
CSU20764,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20764_S62_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20764_S62_L001_R2_001.fastq.gz
CSU20834,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20834_S72_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20834_S72_L001_R2_001.fastq.gz
CSU20332,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20332_S16_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20332_S16_L001_R2_001.fastq.gz
CSU20712,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20712_S57_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20712_S57_L001_R2_001.fastq.gz
CSU20458,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20458_S30_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20458_S30_L001_R2_001.fastq.gz
CSU20866,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20866_S77_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20866_S77_L001_R2_001.fastq.gz
CSU20202,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20202_S10_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20202_S10_L001_R2_001.fastq.gz
CSU20932,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20932_S90_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20932_S90_L001_R2_001.fastq.gz
BOU00166,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/BOU00166_S64_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/BOU00166_S64_L001_R2_001.fastq.gz
CSU20485,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20485_S33_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20485_S33_L001_R2_001.fastq.gz
CSU20296,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20296_S13_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20296_S13_L001_R2_001.fastq.gz
CSU20561,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20561_S40_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20561_S40_L001_R2_001.fastq.gz
