sample,fastq_1,fastq_2
CSU19913,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19913_S20_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19913_S20_L001_R2_001.fastq.gz
CSU18932,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18932_S24_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18932_S24_L001_R2_001.fastq.gz
CSU18801,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18801_S46_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18801_S46_L001_R2_001.fastq.gz
CSU18664,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18664_S55_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18664_S55_L001_R2_001.fastq.gz
CSU18417,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18417_S78_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18417_S78_L001_R2_001.fastq.gz
CSU18896,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18896_S15_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18896_S15_L001_R2_001.fastq.gz
CSU18837,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18837_S30_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18837_S30_L001_R2_001.fastq.gz
CSU18959,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18959_S14_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18959_S14_L001_R2_001.fastq.gz
CSU18220,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18220_S93_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18220_S93_L001_R2_001.fastq.gz
CSU18880,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18880_S28_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18880_S28_L001_R2_001.fastq.gz
CSU18316,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18316_S90_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18316_S90_L001_R2_001.fastq.gz
CSU20022,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU20022_S71_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU20022_S71_L001_R2_001.fastq.gz
CSU18520,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18520_S73_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18520_S73_L001_R2_001.fastq.gz
CSU18945,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18945_S13_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18945_S13_L001_R2_001.fastq.gz
CSU18856,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18856_S25_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18856_S25_L001_R2_001.fastq.gz
CSU18920,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18920_S21_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18920_S21_L001_R2_001.fastq.gz
CSU18627,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18627_S59_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18627_S59_L001_R2_001.fastq.gz
CSU18981,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18981_S11_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18981_S11_L001_R2_001.fastq.gz
CSU19819,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19819_S62_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19819_S62_L001_R2_001.fastq.gz
CSU18431,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18431_S82_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18431_S82_L001_R2_001.fastq.gz
CSU18432,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18432_S83_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18432_S83_L001_R2_001.fastq.gz
CSU18509,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18509_S72_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18509_S72_L001_R2_001.fastq.gz
CSU18971,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18971_S10_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18971_S10_L001_R2_001.fastq.gz
CSU19142,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19142_S4_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19142_S4_L001_R2_001.fastq.gz
CSU18724,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18724_S50_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18724_S50_L001_R2_001.fastq.gz
CSU18825,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18825_S40_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18825_S40_L001_R2_001.fastq.gz
CSU18341,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18341_S87_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18341_S87_L001_R2_001.fastq.gz
CSU18495,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18495_S68_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18495_S68_L001_R2_001.fastq.gz
CSU18885,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18885_S29_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18885_S29_L001_R2_001.fastq.gz
CSU18996,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18996_S12_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18996_S12_L001_R2_001.fastq.gz
CSU18903,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18903_S17_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18903_S17_L001_R2_001.fastq.gz
CSU18843,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18843_S33_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18843_S33_L001_R2_001.fastq.gz
CSU18224,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18224_S94_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18224_S94_L001_R2_001.fastq.gz
CSU18479,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18479_S76_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18479_S76_L001_R2_001.fastq.gz
CSU18460,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18460_S77_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18460_S77_L001_R2_001.fastq.gz
CSU18865,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18865_S26_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18865_S26_L001_R2_001.fastq.gz
CSU18904,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18904_S18_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18904_S18_L001_R2_001.fastq.gz
CSU18572,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18572_S65_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18572_S65_L001_R2_001.fastq.gz
CSU19820,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19820_S56_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19820_S56_L001_R2_001.fastq.gz
CSU19558,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19558_S6_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19558_S6_L001_R2_001.fastq.gz
CSU18851,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18851_S34_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18851_S34_L001_R2_001.fastq.gz
CSU18716,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18716_S48_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18716_S48_L001_R2_001.fastq.gz
CSU18757,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18757_S52_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18757_S52_L001_R2_001.fastq.gz
CSU18832,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18832_S31_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18832_S31_L001_R2_001.fastq.gz
CSU20190,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU20190_S79_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU20190_S79_L001_R2_001.fastq.gz
CSU19030,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19030_S8_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19030_S8_L001_R2_001.fastq.gz
CSU18879,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18879_S27_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18879_S27_L001_R2_001.fastq.gz
Undetermined,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/Undetermined_S0_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/Undetermined_S0_L001_R2_001.fastq.gz
CSU18680,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18680_S54_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18680_S54_L001_R2_001.fastq.gz
CSU18749,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18749_S47_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18749_S47_L001_R2_001.fastq.gz
CSU19127,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19127_S3_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19127_S3_L001_R2_001.fastq.gz
CSU18835,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18835_S32_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18835_S32_L001_R2_001.fastq.gz
CSU18573,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18573_S66_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18573_S66_L001_R2_001.fastq.gz
CSU18424,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18424_S80_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18424_S80_L001_R2_001.fastq.gz
CSU18925,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18925_S23_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18925_S23_L001_R2_001.fastq.gz
CSU19889,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19889_S44_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19889_S44_L001_R2_001.fastq.gz
BOU00093,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/BOU00093_S1_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/BOU00093_S1_L001_R2_001.fastq.gz
CSU18921,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18921_S22_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18921_S22_L001_R2_001.fastq.gz
